,name,director_actor,info,rating_score,rating_num,introduce
38,素媛,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol严志媛Ji-wonUhm...,2013/韩国/剧情,9.2,461599人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
39,哈尔的移动城堡,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô木村拓...,2004/日本/动画奇幻冒险,9.1,721206人评价,带着心爱的人在天空飞翔。
40,天空之城,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka横泽启子Ke...,1986/日本/动画奇幻冒险,9.1,624300人评价,对天空的追逐，永不停止。 
41,大话西游之月光宝盒,导演:刘镇伟JeffreyLau主演:周星驰StephenChow吴孟达ManTatNg...,1995/中国香港中国大陆/喜剧爱情奇幻古装,9.0,891978人评价,旷古烁今。
42,哈利·波特与魔法石,导演:ChrisColumbus主演:DanielRadcliffeEmmaWatsonRupertGrint,2001/美国英国/奇幻冒险,9.0,697152人评价,童话世界的开端。
43,天堂电影院,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东内拉·阿蒂利Anton...,1988/意大利法国/剧情爱情,9.2,484609人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
44,罗马假日,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn格...,1953/美国/喜剧剧情爱情,9.0,720333人评价,爱情哪怕只有一天。
45,闻香识女人,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino克里斯...,1992/美国/剧情,9.1,627740人评价,史上最美的探戈。
46,辩护人,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong金英爱Yeong-ae...,2013/韩国/剧情,9.2,450837人评价,电影的现实意义大过电影本身。
47,我不是药神,导演:文牧野MuyeWen主演:徐峥ZhengXu王传君ChuanjunWang周...,2018/中国大陆/剧情喜剧,9.0,1541439人评价,对我们国家而言，这样的电影多一部是一部。
