ranking,name,director_actor,info,rating_score,rating_num,introduce
49,我不是药神,导演:文牧野MuyeWen   主演:徐峥ZhengXu王传君ChuanjunWang周...,2018/中国大陆/剧情喜剧,9.0,1467965人评价,对我们国家而言，这样的电影多一部是一部。
50,死亡诗社,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams罗伯...,1989/美国/剧情,9.1,490863人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
51,教父2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,1974/美国/剧情犯罪,9.2,361665人评价,优雅的孤独。
52,指环王2：双塔奇兵,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood西恩...,2002/美国新西兰/剧情动作奇幻冒险,9.1,485027人评价,承前启后的史诗篇章。
53,狮子王,导演:RogerAllers罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...,1994/美国/动画冒险歌舞,9.0,560201人评价,动物版《哈姆雷特》。
54,窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...,2006/德国/剧情悬疑,9.1,403826人评价,别样人生。
55,大闹天宫,导演:万籁鸣LaimingWan唐澄ChengTang   主演:邱岳峰YuefengQiu...,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,9.3,265760人评价,经典之作，历久弥新。
56,指环王1：魔戒再现,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood西恩...,2001/新西兰美国/剧情动作奇幻冒险,9.0,546111人评价,传说的开始。
57,两杆大烟枪,导演:GuyRitchie   主演:JasonFlemyngDexterFletcherNickMoran,1998/英国/剧情喜剧犯罪,9.1,430547人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
58,美丽心灵,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe艾德·哈...,2001/美国/传记剧情,9.0,532263人评价,爱是一切逻辑和原由。
59,饮食男女,导演:李安AngLee   主演:郎雄SihungLung杨贵媚Kuei-MeiYang吴...,1994/中国台湾美国/剧情家庭,9.1,396279人评价,人生不能像做菜，把所有的料都准备好了才下锅。
60,猫鼠游戏,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...,2002/美国加拿大/传记犯罪剧情,9.0,551675人评价,骗子大师和执著警探的你追我跑故事。 
61,飞越疯人院,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,1975/美国/剧情,9.1,425435人评价,自由万岁。
62,黑客帝国,导演:安迪·沃卓斯基AndyWachowski拉娜·沃卓斯基LanaWachowski   主...,1999/美国澳大利亚/动作科幻,9.0,544040人评价,视觉革命。
63,钢琴家,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...,2002/法国德国英国波兰/剧情传记历史战争音乐,9.2,358229人评价,音乐能化解仇恨。
64,V字仇杀队,导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...,2005/美国英国德国/剧情动作科幻惊悚,8.9,748703人评价,一张面具背后的理想与革命。
65,本杰明·巴顿奇事,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett...,2008/美国/剧情爱情奇幻,8.9,695280人评价,在时间之河里感受溺水之苦。
66,看不见的客人,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas阿...,2016/西班牙/剧情犯罪悬疑惊悚,8.8,812529人评价,你以为你以为的就是你以为的。
67,让子弹飞,导演:姜文WenJiang   主演:姜文WenJiang葛优YouGe周润发Yun-F...,2010/中国大陆中国香港/剧情喜剧动作西部,8.8,1129573人评价,你给我翻译翻译，神马叫做TMD的惊喜。
68,西西里的美丽传说,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...,2000/意大利美国/剧情战争情色,8.9,682758人评价,美丽无罪。
69,小鞋子,导演:马基德·马基迪MajidMajidi   主演:法拉赫阿米尔·哈什米安AmirFa...,1997/伊朗/剧情儿童家庭,9.2,279096人评价,奔跑的孩子是天使。
70,海豚湾,导演:路易·西霍尤斯LouiePsihoyos   主演:RichardO'Barry路易·西霍...,2009/美国/纪录片,9.3,281742人评价,海豚的微笑，是世界上最高明的伪装。
71,拯救大兵瑞恩,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,1998/美国/剧情历史战争,9.0,449611人评价,美利坚精神输出大片No1.
72,情书,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama丰川悦司Ets...,1995/日本/剧情爱情,8.9,639112人评价,暗恋的极致。
73,穿条纹睡衣的男孩,导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...,2008/英国美国/剧情战争,9.1,344100人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
74,音乐之声,导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews克...,1965/美国/剧情传记爱情歌舞,9.0,417405人评价,用音乐化解仇恨，让歌声串起美好。
75,美国往事,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...,1984/美国意大利/犯罪剧情,9.2,295568人评价,往事如烟，无处祭奠。
76,绿皮书,导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen...,2018/美国/剧情喜剧传记,8.9,1046357人评价,去除成见，需要勇气。
77,致命魔术,导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...,2006/美国英国/剧情悬疑惊悚,8.9,595026人评价,孪生蝙蝠侠大战克隆金刚狼。
78,海蒂和爷爷,导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen...,2015/德国瑞士南非/剧情冒险家庭,9.2,254125人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
79,低俗小说,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...,1994/美国/剧情喜剧犯罪,8.8,589856人评价,故事的高级讲法。
80,七宗罪,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman布...,1995/美国/剧情犯罪悬疑惊悚,8.8,691424人评价,警察抓小偷，老鼠玩死猫。
81,沉默的羔羊,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster安...,1991/美国/剧情犯罪惊悚,8.8,588418人评价,安东尼·霍普金斯的顶级表演。
82,蝴蝶效应,导演:埃里克·布雷斯EricBressJ·麦基·格鲁伯J.MackyeGruber   主...,2004/美国加拿大/剧情悬疑科幻惊悚,8.8,654113人评价,人的命运被自己瞬间的抉择改变。
83,春光乍泄,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung梁朝伟TonyLeu...,1997/中国香港日本韩国/剧情爱情同性,8.9,441628人评价,爱情纠缠，男女一致。
84,禁闭岛,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio...,2010/美国/剧情悬疑惊悚,8.8,654542人评价,昔日翩翩少年，今日大腹便便。
85,被嫌弃的松子的一生,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani瑛太E...,2006/日本/剧情歌舞,8.9,528374人评价,以戏谑来戏谑戏谑。
86,心灵捕手,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon罗宾·...,1997/美国/剧情,8.9,488554人评价,人生中应该拥有这样的一段豁然开朗。
87,布达佩斯大饭店,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes...,2014/美国德国英国/剧情喜剧冒险,8.8,618822人评价,小清新的故事里注入了大历史的情怀。
88,阿凡达,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...,2009/美国英国/动作科幻冒险,8.7,937555人评价,绝对意义上的美轮美奂。
89,剪刀手爱德华,导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp薇诺娜·...,1990/美国/剧情奇幻爱情,8.7,793397人评价,浪漫忧郁的成人童话。
90,勇敢的心,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson苏菲·玛...,1995/美国/动作传记剧情历史战争,8.9,439341人评价,史诗大片的典范。
91,摩登时代,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...,1936/美国/剧情喜剧爱情,9.3,193825人评价,大时代中的人生，小人物的悲喜。
92,天使爱美丽,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...,2001/法国德国/喜剧爱情,8.7,759115人评价,法式小清新。 
93,喜剧之王,导演:周星驰StephenChow李力持Lik-ChiLee   主演:周星驰StephenCh...,1999/中国香港/喜剧剧情爱情,8.7,653166人评价,我是一个演员。
